scope,year,variant,n,mae_000s,bias_000s,aggregate_under_pct,median_ape_pct,mape_pct,underpredicted_pct
marquee_2022_2025,2024,past_selected,36,1299.0665472928397,-272.5974842223501,3.4569217387644957,13.818778357457935,18.87086325559454,63.888888888888886
marquee_2022_2025,2025,past_selected,42,1379.5740919756838,-235.8089874907138,2.7242707868082694,13.034856432186332,16.167959013553237,52.38095238095239
marquee_2022_2025,2022,ranked_mean,29,1612.0070049672088,109.40802729421623,-1.4737483355159453,16.753953987888053,23.857118314489366,51.724137931034484
marquee_2022_2025,2023,ranked_mean,23,1129.9658327732907,-150.098626957548,1.8207206476576032,13.360135480838638,15.68244736534936,52.17391304347826
marquee_2022_2025,2024,ranked_mean,36,1299.0665472928397,-272.5974842223501,3.4569217387644957,13.818778357457935,18.87086325559454,63.888888888888886
marquee_2022_2025,2025,ranked_mean,42,1379.5740919756838,-235.8089874907138,2.7242707868082694,13.034856432186332,16.167959013553237,52.38095238095239
marquee_2024_2025,2024,broad_to_marquee,36,1346.7284907842345,140.40678886782035,-1.7805567138373668,11.27619500081149,20.792653024825043,41.66666666666667
marquee_2024_2025,2025,broad_to_marquee,42,1326.9261660974269,-113.57081218530854,1.3120689298693922,11.619180562418032,15.781469011657835,50.0
marquee_2024_2025,2024,current,36,1398.99694103026,-469.3988766997804,5.952641806817027,15.267809759711447,19.755741089610076,63.888888888888886
marquee_2024_2025,2025,current,42,1398.660628080519,-605.4187096786418,6.994324186348622,13.704923504835747,16.064669062037957,66.66666666666666
marquee_2024_2025,2024,hybrid_mean,36,1337.3781448750462,-183.15504727985277,2.32266510570478,13.754654352644891,19.73966415664195,55.55555555555556
marquee_2024_2025,2025,hybrid_mean,42,1324.5360888167959,-191.98275517514736,2.2179519833407935,12.21892237069687,15.672369115927816,52.38095238095239
marquee_2024_2025,2024,marquee_mean,36,1365.4018058099396,-341.6593645865983,4.332724082400152,14.35346628412766,19.647713912316792,61.111111111111114
marquee_2024_2025,2025,marquee_mean,42,1327.7518822998743,-305.7293227537931,3.5320513925773622,13.398618077573069,15.591286071958434,59.523809523809526
marquee_2024_2025,2024,marquee_median,36,1351.0007223687028,-270.8507567707018,3.4347707636132374,14.34427038663321,19.660204694059544,58.333333333333336
marquee_2024_2025,2025,marquee_median,42,1329.301145018094,-317.73395596500166,3.670739370129261,13.52312130051292,15.596255098843114,59.523809523809526
