scope,variant,year,n,mae_000s,mape_pct,median_ape_pct,within20_pct,within30_pct,over50_pct,bias_000s
five_major,current,2025,203,804.8720188163306,23.562483701531146,19.755819218115814,50.24630541871922,73.39901477832512,8.866995073891626,-376.0869807494452
five_major,interest_level,2021,186,752.3620537781727,24.88355639395994,22.860224509814255,47.31182795698925,72.04301075268818,11.29032258064516,-254.85131474735698
five_major,interest_level,2022,180,717.7990006606741,20.59217506274137,15.470704002292846,61.111111111111114,74.44444444444444,6.666666666666667,-189.13043320350653
five_major,interest_level,2023,202,787.9593136029359,22.968036129490006,19.848644383940016,51.98019801980198,73.26732673267327,7.920792079207921,-350.59727377257235
five_major,interest_level,2024,216,667.3858946864186,23.6279788412233,18.771831953821632,52.31481481481482,70.37037037037037,10.648148148148149,-64.98525443414532
five_major,interest_level,2025,203,787.0835014487036,23.195788015638332,19.23311653853274,52.70935960591133,72.41379310344827,7.8817733990147785,-354.86506609512884
five_major,interest_level_momentum,2021,186,752.557974933073,24.71858541991396,21.96597959739548,45.16129032258064,72.04301075268818,11.827956989247312,-262.30793420532734
five_major,interest_level_momentum,2022,180,713.9176200688345,20.728440956769287,15.76026895889898,62.22222222222222,72.77777777777777,6.666666666666667,-148.2542476482916
five_major,interest_level_momentum,2023,202,787.0387754366104,22.97941606171717,18.89807067726301,52.97029702970298,71.78217821782178,8.415841584158416,-342.2409443596858
five_major,interest_level_momentum,2024,216,660.0747729217487,23.390350570823195,18.503080830995835,53.24074074074075,69.9074074074074,9.25925925925926,-59.66120483211541
five_major,interest_level_momentum,2025,203,792.0992791385167,23.46643553221149,19.7796455776649,50.24630541871922,71.92118226600985,8.374384236453201,-357.44885755614536
five_major,interest_momentum,2021,186,832.3735039200077,28.926941374325057,22.910150205892585,46.236559139784944,67.74193548387096,16.666666666666664,44.55605418290222
five_major,interest_momentum,2022,180,719.0061683338795,21.025319749852414,17.016670342022927,56.666666666666664,75.55555555555556,7.222222222222221,-163.46825955764825
five_major,interest_momentum,2023,202,810.7354415951482,23.08015982078807,19.492291169711017,52.97029702970298,71.28712871287128,8.415841584158416,-373.2541669331899
five_major,interest_momentum,2024,216,670.9977375685055,23.936743326920904,17.947632819940562,54.166666666666664,68.05555555555556,11.574074074074074,-58.10314728328617
five_major,interest_momentum,2025,203,814.6773335628385,23.767978352388006,19.797486541496735,50.73891625615764,70.93596059113301,9.852216748768473,-395.3761234941224
five_major,past_selected,2021,186,752.3620537781727,24.88355639395994,22.860224509814255,47.31182795698925,72.04301075268818,11.29032258064516,-254.85131474735698
five_major,past_selected,2022,180,717.7990006606741,20.59217506274137,15.470704002292846,61.111111111111114,74.44444444444444,6.666666666666667,-189.13043320350653
five_major,past_selected,2023,202,787.9593136029359,22.968036129490006,19.848644383940016,51.98019801980198,73.26732673267327,7.920792079207921,-350.59727377257235
five_major,past_selected,2024,216,667.3858946864186,23.6279788412233,18.771831953821632,52.31481481481482,70.37037037037037,10.648148148148149,-64.98525443414532
five_major,past_selected,2025,203,787.0835014487036,23.195788015638332,19.23311653853274,52.70935960591133,72.41379310344827,7.8817733990147785,-354.86506609512884
four_broadcast,current,2021,110,1082.0311620865568,26.154365085574582,20.757813314232763,47.27272727272727,69.0909090909091,17.272727272727273,6.40721313169287
four_broadcast,current,2022,112,915.3452499107725,21.956863308581912,17.194089650438016,55.35714285714286,68.75,8.035714285714286,-170.51150038810925
four_broadcast,current,2023,132,924.9337981173084,22.280212841346845,18.94510723202398,51.515151515151516,73.48484848484848,8.333333333333332,-395.08506115408824
four_broadcast,current,2024,137,855.665222428097,23.996777661212267,18.310591531555435,54.01459854014598,71.53284671532847,11.678832116788321,-92.78833119021951
four_broadcast,current,2025,118,1005.4542159013822,20.82579506924995,18.78391047452232,53.38983050847458,77.11864406779661,3.389830508474576,-483.6516008889348
four_broadcast,interest_level,2021,110,994.5560543804529,23.886956882419412,23.072932264168415,47.27272727272727,70.9090909090909,9.090909090909092,-352.62595434512764
four_broadcast,interest_level,2022,112,905.9905232804489,21.573415483299545,15.679924528111716,59.82142857142857,71.42857142857143,6.25,-193.7333611670612
four_broadcast,interest_level,2023,132,903.3988619109399,22.06679049664641,19.455358682839,53.03030303030303,73.48484848484848,7.575757575757576,-370.22800640330587
four_broadcast,interest_level,2024,137,851.6871046741629,23.47888754246123,18.320525804453087,53.284671532846716,73.72262773722628,10.218978102189782,-112.2631488814935
four_broadcast,interest_level,2025,118,980.8208823476898,20.283486898659728,17.94063351744275,57.6271186440678,77.96610169491525,3.389830508474576,-461.6928381166246
four_broadcast,interest_level_momentum,2021,110,995.8270656222887,23.759803279684572,23.089229192539108,44.54545454545455,71.81818181818181,10.0,-361.0628698615467
four_broadcast,interest_level_momentum,2022,112,903.5858944046123,21.821476558036572,16.038704092474603,59.82142857142857,68.75,6.25,-142.02333217816084
four_broadcast,interest_level_momentum,2023,132,899.7628321890353,21.88388867173045,18.558484009423744,53.78787878787878,71.96969696969697,7.575757575757576,-357.90443931656387
four_broadcast,interest_level_momentum,2024,137,840.9097547325736,23.11771732238719,17.39747395567163,54.74452554744526,74.45255474452554,9.48905109489051,-103.0790805969016
four_broadcast,interest_level_momentum,2025,118,987.0314068974219,20.561653148802865,18.445465473765704,55.08474576271186,77.96610169491525,3.389830508474576,-459.0039487755855
four_broadcast,interest_momentum,2021,110,1099.1385909033881,27.18411087535812,20.865649311072808,49.09090909090909,69.0909090909091,18.181818181818183,61.56835717978654
four_broadcast,interest_momentum,2022,112,906.459395727321,21.99100196252176,16.91712225121112,57.14285714285714,72.32142857142857,8.035714285714286,-155.16023623802343
four_broadcast,interest_momentum,2023,132,932.3052222369402,22.146901055957805,19.34444490486083,51.515151515151516,71.96969696969697,8.333333333333332,-392.59878332322836
four_broadcast,interest_momentum,2024,137,851.9131317989247,23.559950664182708,17.586724739849277,56.934306569343065,70.8029197080292,10.948905109489052,-96.51769845935048
four_broadcast,interest_momentum,2025,118,1019.2997625335122,20.886612666191464,18.971098693237096,54.23728813559322,76.27118644067797,4.23728813559322,-508.0208583570534
