source_index,Team 1,Team 2,Station,actual,pred,variant
2000016,Alabama,Kentucky,ABC,,5714.934135062969,both
2000017,Arizona,BYU,FOX,,1795.496946874693,both
2000018,UCF,Pittsburgh,ESPN2,,557.2432275937496,both
2000019,Mississippi St.,Minnesota,CBS,,1592.2818185688366,both
2000020,UNLV,North Texas,ESPNU,,64.90133715773658,both
2000021,Bowling Green,Nebraska,FS1,,458.2923259589129,both
2000022,Tennessee,Georgia Tech,ESPN,,1691.9505586864198,both
2000023,San Diego St.,UCLA,BTN,,306.94696322494246,both
2000024,Western Illinois,Wisconsin,BTN,,308.6731577694252,both
2000025,Ohio St.,Texas,ABC,,12171.72598998098,both
2000026,Navy,FAU,ESPNU,,53.68689093274991,both
2000027,Iowa St.,Iowa,NBC,,1767.3049086055898,both
2000028,Texas Tech,Oregon St.,CBS,,1292.2930201844924,both
2000029,Charlotte,Mississippi,ESPN2,,343.6804659935874,both
2000030,North Dakota State,Air Force,FS1,,178.17514107556306,both
2000031,Arkansas,Utah,ESPN,,1618.1291340558894,both
2000032,Montana State,Nevada,CW,,275.7874786403702,both
2000033,Louisiana,USC,BTN,,541.701954604382,both
