scope,year,variant,n,mae_000s,bias_000s,aggregate_under_pct,median_ape_pct,mape_pct,underpredicted_pct
major_pred_ge5M,2021,global_mean,24,1774.557235220278,-340.73376784277804,4.58882671737173,19.884069795908218,24.51951541433401,45.83333333333333
major_pred_ge5M,2022,global_mean,29,1624.3821037224707,475.8059820102615,-6.409203157739607,20.590401096618354,25.460358458048365,44.827586206896555
major_pred_ge5M,2023,global_mean,23,1115.8261927142019,174.54304746451677,-2.1172354262348536,15.68853363498235,16.27778360505183,39.130434782608695
major_pred_ge5M,2024,global_mean,36,1346.7284907842345,140.40678886782035,-1.7805567138373668,11.27619500081149,20.792653024825043,41.66666666666667
major_pred_ge5M,2025,global_mean,42,1326.9261660974269,-113.57081218530854,1.3120689298693922,11.619180562418032,15.781469011657835,50.0
major_pred_ge5M,2021,past_selected,24,1774.557235220278,-340.73376784277804,4.58882671737173,19.884069795908218,24.51951541433401,45.83333333333333
major_pred_ge5M,2022,past_selected,29,1638.3286254491225,-83.79697873444071,1.128762312833298,18.930084637686495,23.686739822744773,51.724137931034484
major_pred_ge5M,2023,past_selected,23,1153.89174792548,-359.8625612131931,4.365191133328117,9.79205640014442,15.348636895506704,56.52173913043478
major_pred_ge5M,2024,past_selected,36,1374.5766832280751,-358.3269653043756,4.5440928388606245,14.616136487717878,19.799784395251066,55.55555555555556
major_pred_ge5M,2025,past_selected,42,1398.660628080519,-605.4187096786418,6.994324186348622,13.704923504835747,16.064669062037957,66.66666666666666
major_pred_ge3M,2021,band_mean,63,1283.1353735102214,-386.50194816358237,7.043835242374074,19.933538523554365,22.613819209342918,53.96825396825397
major_pred_ge3M,2022,band_mean,74,1136.0029721979595,23.51932991167765,-0.44059298604226527,15.272550750900223,21.857945397316445,44.5945945945946
major_pred_ge3M,2023,band_mean,79,1205.0535682757447,-266.8043855810312,4.909747603284753,21.75898731139725,24.43304893060916,46.835443037974684
major_pred_ge3M,2024,band_mean,89,1087.3747142350053,38.26532649068462,-0.6947538827130062,16.071099450036908,23.427526091347982,43.82022471910113
major_pred_ge3M,2025,band_mean,81,1146.9677922530652,-337.13892761707075,5.118765032902539,16.13860615458825,19.44460902845288,60.49382716049383
major_pred_ge3M,2021,band_median,63,1283.1353735102214,-386.50194816358237,7.043835242374074,19.933538523554365,22.613819209342918,53.96825396825397
major_pred_ge3M,2022,band_median,74,1128.2702587843846,-100.14500046534013,1.876039196606527,15.999309594932118,21.11207202329052,47.2972972972973
major_pred_ge3M,2023,band_median,79,1201.110056842538,-426.01861156049966,7.839615726363725,20.113678854441137,23.333169731564336,49.36708860759494
major_pred_ge3M,2024,band_median,89,1052.7138025315674,-137.1332372364844,2.4898219290575563,15.924626219211449,21.51663078313725,49.43820224719101
