holdout_year,variant,feature,branch,component,coefficient,multiplier
2021,share,CompetitionXShare,week1,1,0.0051792771740006,1.0051927128156457
2021,share,Competing_Games_Score,week1,1,-0.0109885308690961,0.989071622502229
2021,stronger,SlateOwnLogAudience,regular,0,-0.8506810223890765,0.4271239519038528
2021,stronger,StrongerCompetition,regular,0,-0.0054169941307046,0.9945976513252852
2021,stronger,Competing_Games_Score,regular,0,-0.0099034423826636,0.9901454352176098
2021,stronger,SlateOwnLogAudience,regular,1,-0.8305951270099552,0.4357898588173883
2021,stronger,StrongerCompetition,regular,1,-0.0078527649957801,0.9921779874134624
2021,stronger,Competing_Games_Score,regular,1,-0.0069588596273144,0.9930652971692768
2021,stronger,SlateOwnLogAudience,week1,0,-0.849533859200008,0.4276142139301564
2021,stronger,StrongerCompetition,week1,0,-0.0057175558174416,0.9942987582977244
2021,stronger,Competing_Games_Score,week1,0,-0.0096048455771469,0.990441133626666
2021,stronger,SlateOwnLogAudience,week1,1,-0.83046326725185,0.4358473257514614
2021,stronger,StrongerCompetition,week1,1,-0.0082146836825464,0.9918189646316647
2021,stronger,Competing_Games_Score,week1,1,-0.0067303963030509,0.9932922020870176
2021,leader_only,SlateLeader,regular,0,0.0646987991791046,1.066837643612528
2021,leader_only,CompetitionXLeader,regular,0,-0.0161911366572082,0.983939235224588
2021,leader_only,Competing_Games_Score,regular,0,-0.0183164526815727,0.9818502740386198
2021,leader_only,SlateLeader,regular,1,0.04099993144621,1.0418520341225714
2021,leader_only,CompetitionXLeader,regular,1,-0.0089046652790742,0.991134863834602
2021,leader_only,Competing_Games_Score,regular,1,-0.0175433767722368,0.9826096123072972
2021,leader_only,SlateLeader,week1,0,0.0653576857735431,1.0675408002591522
2021,leader_only,CompetitionXLeader,week1,0,-0.0153866009783628,0.9847311679715004
2021,leader_only,Competing_Games_Score,week1,0,-0.0183033108846066,0.9818631774003588
2021,leader_only,SlateLeader,week1,1,0.0175499535327583,1.0177048588340194
2021,leader_only,CompetitionXLeader,week1,1,-0.0047797026468211,0.9952317019544388
2021,leader_only,Competing_Games_Score,week1,1,-0.018078234183554,0.9820841967974384
