scope,year,variant,n,mae_000s,mape_pct,median_ape_pct,within20_pct,within30_pct,over50_pct,bias_000s
major,2022,share_only,180,739.5494825584757,21.07514146063979,16.983330462637603,58.88888888888889,76.11111111111111,6.666666666666667,-151.8006970046517
major,2022,stronger,180,785.0998449335973,22.317923601094403,16.922588183758087,56.666666666666664,73.88888888888889,7.222222222222221,-171.78360681330005
major,2022,stronger_only,180,722.5959014575676,20.742480112657535,16.424709527414883,60.55555555555555,73.88888888888889,6.666666666666667,-188.3435438346294
major,2023,current,202,787.9593136029359,22.968036129490006,19.848644383940016,51.98019801980198,73.26732673267327,7.920792079207921,-350.59727377257235
major,2023,leader,202,850.797597265039,23.75039669634479,21.340080720524085,47.524752475247524,71.28712871287128,8.415841584158416,-418.2491788403492
major,2023,leader_only,202,794.0403131960005,23.06619780544037,19.188865229670995,51.48514851485149,70.79207920792079,8.415841584158416,-369.07168548160547
major,2023,own_strength,202,839.2039122950481,23.59668950234046,20.71491717167426,47.524752475247524,69.3069306930693,8.415841584158416,-389.86992270718605
major,2023,past_selected,202,794.0403131960005,23.06619780544037,19.188865229670995,51.48514851485149,70.79207920792079,8.415841584158416,-369.07168548160547
major,2023,share,202,855.7696996833379,23.749087077579805,20.212137576846068,49.504950495049506,72.27722772277228,8.91089108910891,-387.60783869414627
major,2023,share_only,202,828.8066550278809,23.515361658005258,18.56696978630856,52.475247524752476,75.24752475247524,8.91089108910891,-352.75232519229974
major,2023,stronger,202,843.953727377904,23.57824826045092,21.341137949220517,47.02970297029702,70.79207920792079,7.920792079207921,-406.5467167939264
major,2023,stronger_only,202,794.053100996473,23.003100153689235,19.825852972555232,50.0,70.29702970297029,7.425742574257425,-368.0263045520993
major,2024,current,216,667.3858946864186,23.6279788412233,18.771831953821632,52.31481481481482,70.37037037037037,10.648148148148149,-64.98525443414532
major,2024,leader,216,669.6699570488844,23.309520545045938,17.601718692519803,54.629629629629626,68.98148148148148,8.796296296296296,-115.21798362153146
major,2024,leader_only,216,669.3846491795944,23.728526980066956,18.36401081177638,52.31481481481482,68.51851851851852,10.185185185185185,-63.263657074285454
major,2024,own_strength,216,658.6343747160286,23.07134508396721,17.648476424957565,55.092592592592595,69.9074074074074,8.796296296296296,-111.45829472008096
major,2024,past_selected,216,669.3846491795944,23.728526980066956,18.36401081177638,52.31481481481482,68.51851851851852,10.185185185185185,-63.263657074285454
major,2024,share,216,674.9040849491638,23.402880468158305,18.969246366400185,52.77777777777778,69.44444444444444,8.333333333333332,-94.50356274659754
major,2024,share_only,216,699.4795239248889,24.071273854987478,18.927879814657437,50.46296296296296,70.37037037037037,11.11111111111111,-52.8036789220635
major,2024,stronger,216,659.0200708985334,23.135180194430617,17.918418413126325,55.55555555555556,69.9074074074074,8.333333333333332,-106.77679251468224
major,2024,stronger_only,216,660.9974682304681,23.67530309643739,18.08358359493485,52.77777777777778,69.44444444444444,10.185185185185185,-53.98050086978509
major,2025,current,203,780.1793723408495,22.97319254296547,18.69821952304687,52.70935960591133,71.92118226600985,7.389162561576355,-359.76640825219795
