scope,variant,n,mae_000s,mape_pct,median_ape_pct,within20_pct,within30_pct,over50_pct,bias_000s,mae_improvement_pct
major_2024_2025,current,419,722.0328540273482,23.310743474764255,18.69821952304687,52.50596658711218,71.1217183770883,9.069212410501192,-207.80285401663863,0.0
major_2024_2025,leader,419,749.2041997846657,23.630295873229414,19.69728477804823,52.2673031026253,68.97374701670644,8.353221957040573,-254.32275106308722,-3.7631730475644387
major_2024_2025,leader_only,419,731.3617095592099,23.540528714331145,19.148073432711076,52.02863961813843,70.16706443914082,8.353221957040573,-207.3264958344258,-1.292026461099005
major_2024_2025,own_strength,419,742.9949031718398,23.491069535391453,19.524648286100714,51.551312649164686,68.97374701670644,8.353221957040573,-257.61666129684187,-2.9031987987208296
major_2024_2025,past_selected,419,723.0632382052146,23.362577360182463,18.637964173632437,52.50596658711218,70.16706443914082,8.83054892601432,-206.91534797909748,-0.14270599628800618
major_2024_2025,share,419,756.07693965136,23.775191898418136,19.667047844555007,51.07398568019092,69.4510739856802,8.591885441527445,-227.46398579372146,-4.7150327625842925
major_2024_2025,share_only,419,766.1027128864441,24.062742475611714,20.230501677645375,49.64200477326969,70.64439140811456,10.023866348448687,-197.58989874010695,-6.103580829221755
major_2024_2025,stronger,419,742.7116874105261,23.553183833915472,19.419680859513814,52.02863961813843,69.21241050119332,8.353221957040573,-251.00486019367656,-2.8639740238737943
major_2024_2025,stronger_only,419,728.8336929106264,23.610599205545025,19.533162855396867,51.551312649164686,70.40572792362768,9.785202863961814,-197.54255565584987,-0.9419015831959143
week1_major,current,74,818.8039970438383,23.993804625101337,18.46109106002882,55.4054054054054,68.91891891891892,13.513513513513514,-370.4382446015854,0.0
week1_major,leader,74,792.4644108796236,22.963951366463505,14.588310069175051,58.108108108108105,72.97297297297297,12.162162162162163,-312.8652967310624,3.2168365395515375
week1_major,leader_only,74,841.5204634692217,24.433838063496577,18.645282704831068,52.702702702702695,67.56756756756756,12.162162162162163,-356.46929934112353,-2.774347280594336
week1_major,own_strength,74,798.9672009950049,23.050659435569912,15.6189853386264,56.75675675675676,71.62162162162163,10.81081081081081,-324.3454282240622,2.422655009068231
week1_major,past_selected,74,831.7365984561495,24.138581919697014,18.759479415330304,54.054054054054056,68.91891891891892,12.162162162162163,-348.4111350098247,-1.5794502052997261
week1_major,share,74,828.2923520564044,23.781890891453408,16.577444781741264,58.108108108108105,68.91891891891892,12.162162162162163,-297.5475678497347,-1.158806630991327
week1_major,share_only,74,913.5238499842172,25.474900196078778,17.732362479902008,52.702702702702695,66.21621621621621,14.864864864864865,-312.0112463491951,-11.568074079065305
week1_major,stronger,74,794.5413791535602,23.058375239807177,14.934087262427873,56.75675675675676,71.62162162162163,10.81081081081081,-315.32653545726595,2.963177754123625
week1_major,stronger_only,74,831.3800179577416,24.224647901346472,17.111638663673233,56.75675675675676,66.21621621621621,13.513513513513514,-354.53359172106695,-1.5359012607787825
